"created","text"
"24/04/2017","@gunadarma_ Kalau mau daftar transferan bagaimana caranya min?"
"24/04/2017","RT @DEMAFAHUINJKT: Semangat lestarikan budaya Indonesia angklung_demafah  #demafahberbenah @ Gunadarma University https://t.co/3LyXvyBZwQ"
"24/04/2017","@dprimasy Tersedia D3 lanjut S1."
"24/04/2017","#propertidijual rumah kost di Margonda dekat Gunadarma &amp; UI dengan &gt;40 kamar &amp; 80% penyewa https://t.co/nZV26bQkYP"
"24/04/2017","#propertidijual investasi rumah kost di Margonda Depok dekat Universitas Gunadarma dan UI https://t.co/gaguvJlibI"
"24/04/2017","#propertidijual investasi kost di Margonda Depok sudah 80% penyewa dekat Gunadarma dan UI https://t.co/oxDeTe8vcV"
"24/04/2017","#RumahDijual rumah kost di Margonda dekat Gunadarma &amp; UI dengan &gt;40 kamar &amp; 80% penyewa https://t.co/U1DWcMFqVO"
"24/04/2017","#RumahDijual investasi rumah kost di Margonda Depok dekat Universitas Gunadarma dan UI https://t.co/HjCQITEADR"
"24/04/2017","#RumahDijual investasi kost di Margonda Depok sudah 80% penyewa dekat Gunadarma dan UI https://t.co/nuQ59JDG6O"
"24/04/2017","Selamat Isra' Mi'raj Nabi Muhammad saw. Semoga mampu meningkatkan keimanan &amp; ketaqwaan kpd Allah swt. &amp; meneladani https://t.co/EyqLwbnRm3"
"24/04/2017","Capping Day  @ Universitas Gunadarma, Kampus ""L2"" Cengkareng https://t.co/vgzIuMlOkH"
"24/04/2017","@gunadarma_ Brarti gak bisa ngajuin yg tidak mampu ya?"
"24/04/2017","@gunadarma_ Pagi min, maaf mau tanya untuk tau jadwal sidang skripsi untuk sem. 8 sekarang liatnya dimana ya ?"
"24/04/2017","Ucap janji @ Universitas Gunadarma, Kampus ""L2"" Cengkareng https://t.co/Nxhr1TxHFr"
"24/04/2017","Persembahan medley angkatan ke13  @ Universitas Gunadarma, Kampus https://t.co/tjn5RpXAj4"
"24/04/2017","@matalemon Dapat dilihat langsung hanya pada loket sidang sarjana."
"24/04/2017","@EckyMarullah03 Dapat mendaftar BIDIKMISI."
"24/04/2017","#music  #Donor Darah Universitas GunadarmaJadwal Donor Dar Heroes III : Seminar &amp; Donor Darah  ... https://t.co/Xlwc5Vjgos"
"24/04/2017","@gunadarma_ sore min. Utk test maba biasanya kapan yaa min? Apa ada tanggal tertentu?"
"24/04/2017","@gunadarma_ min saya besok mau balikin formulirnya. Kampus D gundar besok buka sampai jam berapa ya?"
"24/04/2017","@AnisyaSafitri Dapat dipilih sesuai tanggal yang tersedia."
"24/04/2017","Now! [ Futsal Putra]  Univ Gunadarma B (kuning) vs Univ Pancasila (putih) https://t.co/NcQDbrdgjP"
"24/04/2017","Oleh - oleh kemarin dan sekali lagi selamat datang di keluarga baru kalian, Vespa Gunadarma  [pic]  https://t.co/CpUAxI6AsC"
"24/04/2017","dan Pembina BEMF Psikologi Universitas Gunadarma."
"24/04/2017","@gunadarma_ min kalo untuk s1 psikologi sudah ada pembagiannya belum misalnya mau ambil psikologi klinis,pendidikan,sosial maupun industri ?"
"23/04/2017","@SamDirga Yosua Siahaan, anak Gunadarma penista Islam."
"23/04/2017","RT @rinaldydwardha1: @gunadarma_ min tolong retweet dong tadi siang kehilangan laptop merk acer warna abu abu yg ngeliat tolong hubungin ke"
"23/04/2017","Perpus Sungai Bambu Minggu, 23-04-17 jam 09.00 Kelas A, B, C Materi: Games Pemateri: Mahasiswa Univ. Gunadarma PJ: Kak Kikur +6285691115873"
"23/04/2017","@gunadarma_ min , emang ada ya kampus yg di tb simatupang ?"
