"created","text"
"8/4/2017","Babak Delapan Besar Cabor Voli Putra Machung Olympiad 2017 Sajikan Permainan Yang Ketat dan Menghibur - https://t.co/WOF0mgQ1t5"
"8/4/2017","Pertandingan Babak Delapan Besar Cabor Voli Putri Machung Olympiad 2017 Berlangsung Sengit - https://t.co/4hpWvnixCO https://t.co/0T15SbS8Am"
"5/4/2017","Di kontrakan 13 jt 1 tahun / 24 jt 2 tahun. Bridgetown Tidar Malang @rendyajisoko  https://t.co/871VmEfnbs"
"4/4/2017","Di kontrakan 13 jt 1 tahun / 24 jt 2 tahun. Bridgetown Tidar Malang @infokostmalang @infokosmalang @infomalang https://t.co/SEQVjgoTUo"
"4/4/2017","Di kontrakan 13 jt 1 tahun / 24 jt 2 tahun. Bridgetown Tidar Malang #kontrakanmalang #kosmalang @MHSmalang https://t.co/SEQVjgoTUo"
"4/4/2017","Ma Chung Intelligence Battle is back! (22-23 April 2017) Untuk info lebih,  kunjungi : https://t.co/rOqnCm1i1a https://t.co/H8sG2qXLId"
"2/4/2017","Machung Olympiad 2017, Kompetisi Olahraga Terbesar Universitas Machung Hadir Kembali! - https://t.co/gdztxHRkM1 https://t.co/sbeSgzQaWL"
"2/4/2017","@BlackBarmitzvar Akili imeoshwa na vitu za wazungu na bado wajiita mtu?Ata akichomwa si ati wezi wameisha bado kesh https://t.co/62DlSJlBtj"
"2/4/2017","Ini Hasil Lengkap Cabor Voli Hari Kedua Machung Olympiad 2017 - https://t.co/Ntn9kMjfQJ https://t.co/56evhIYPzw"
"29/03/2017","Partisipasi Tim Bola voli putri smk nasional malang di machung  #smknasionalmalang https://t.co/GsVuyRkVNJ"
"29/03/2017","Jaringan Internet Telkom di kampus MaChung putus dari pagi :( #telkom #Internet"
"27/03/2017","Rumah Disewakan Di Perum Villa Puncak Tidar, Cluster Favorit Dekat Universitas Machung - ERA Ventura #infomalangraya https://t.co/lMSY5Q2xaL"
